paper_id,topic_id,title,student_terms,model_additional,review_action
108,69,A Survey of the Usages of Deep Learning for Natural Language Processing,computational linguistics,,
158,69,Pre-trained models for natural language processing: A survey,pre-trained models,,
223,69,Multi-co-training for document classification using various document representat,co-training; document classification,,
841,69,Bidirectional LSTM with attention mechanism and convolutional layer for text cla,convolutional layer; bidirectional lstm; attention mechanism,long short-term memory; attention-based bidirectional long short-term memory with convolution layer,
1344,69,A semantic matching energy function for learning with multi-relational data Appl,large-scale relational learning; word-sense disambiguation,,
1809,69,A review of natural language processing techniques for opinion mining systems,opinion mining,,
1892,69,Knowledge Graphs,knowledge graphs,,
2058,69,A Deep Fusion Matching Network Semantic Reasoning Model,tree-type convolution network; heuristic matching algorithm; deep fusion matching network,dependency convolution layer; information aggregation layer; inference prediction layer; sentence dependency tree structure,
2141,69,Deep Learning-Based Document Modeling for Personality Detection from Text,personality detection from text,,
2187,69,A Survey on Deep Learning for Named Entity Recognition,named entity recognition,,
2560,69,Deep Sentence Embedding Using Long Short-Term Memory Networks: Analysis and Appl,lstm-rnn model; sentence embedding,,
2726,69,Semantics derived automatically from language corpora contain human-like biases,statistical machine-learning model,,
2781,69,Recent Advances in Natural Language Processing via Large Pre-trained Language Mo,large pre-trained language models; pre-training then fine-tuning; text generation; prompting,bert,
3046,69,Attention in Natural Language Processing,attention mechanism,,
3565,69,Sentiment Analysis of Comment Texts Based on BiLSTM,weighted word vectors,,
4547,69,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natu",prompt-based learning; pre-trained language models; natural language processing,,
5203,69,Word embeddings quantify 100 years of gender and ethnic stereotypes,word embeddings,,
5318,69,Hierarchical graph-based text classification framework with contextual node embe,bert-based dynamic fusion; contextual node embedding; hierarchical graph-based text classification,hierarchical node construction; multi-level graph learning; dynamic text sequential feature interaction; attention-based graph learning,
5854,69,Aspect extraction for opinion mining with a deep convolutional neural network,opinion mining; aspect extraction,ensemble classifier,
6274,69,SentiBench - a benchmark comparison of state-of-the-practice sentiment analysis ,(empty),,
6600,69,Unsupervised word embeddings capture latent knowledge from materials science lit,unsupervised word embeddings,,
6699,69,A multiobjective weighted voting ensemble classifier based on differential evolu,majority voting error; multiobjective weighted voting ensemble classifier; forward search,differential evolution algorithm; multiobjective optimization-based weighted voting scheme,
6769,69,"A survey on opinion mining and sentiment analysis: Tasks, approaches and applica",(empty),,
6780,69,Survey on Aspect-Level Sentiment Analysis,aspect-level sentiment analysis,,
7172,69,"A Survey on Knowledge Graphs: Representation, Acquisition, and Applications",knowledge graph representation learning; knowledge acquisition and completion,knowledge graph embedding,
7223,69,A survey of multimodal sentiment analysis,multimodal sentiment analysis; emotion recognition; context inference,,
8290,69,Intermediate-Task Transfer Learning with BERT for Sarcasm Detection,transfer learning framework; bert pre-trained language models,,
8409,69,Jumping NLP Curves: A Review of Natural Language Processing Research,(empty),,
8414,69,"Natural language processing: state of the art, current trends and challenges",(empty),,
8601,69,Transformer models for text-based emotion detection: a review of BERT-based appr,bidirectional encoder representations from transformers (bert); text-based emotion detection,,
8656,69,Advances in natural language processing,(empty),,
8659,69,Ensemble of keyword extraction methods and classifiers in text classification,automatic keyword extraction; random forest; most-frequent based keyword extraction method,,
8742,69,"Latent Dirichlet allocation (LDA) and topic modeling: models, applications, a su",topic modeling; latent dirichlet allocation,,
8754,69,BTM: Topic Modeling over Short Texts,biterm topic model,,
8797,69,A survey on data preprocessing for data stream mining: Current status and future,(empty),,
8977,69,Joint Entity and Relation Extraction With Set Prediction Networks,joint entity and relation extraction; bipartite matching loss,set prediction networks; transformers with non-autoregressive parallel decoding; set-based loss,
9256,69,"Fusing audio, visual and textual clues for sentiment analysis from multimodal co",multimodal sentiment analysis,,
9347,69,Sentiment Analysis of Short Informal Text,sentiment-word hashtags; ablation experiments; supervised statistical text classification,,
9478,69,Pre-Training With Whole Word Masking for Chinese BERT,mlm as correction; chinese bert; whole word masking,,
9871,69,KEPLER: A Unified Model for Knowledge Embedding and Pre-trained Language Represe,kepler; wikidata5m,,
9978,69,A Primer in BERTology: What We Know About How BERT Works,transformer-based models,bert model,
10108,69,SpanBERT: Improving Pre-training by Representing and Predicting Spans,pre-training method; spanbert,,
10509,69,Multi-Scale Dynamic Convolutional Network for Knowledge Graph Embedding,multi-scale dynamic convolutional network; multi-scale filters,knowledge graph embedding; convolution layer,
10846,69,"The evolution of sentiment analysis-A review of research topics, venues, and top",(empty),,
10869,69,Knowledge Graph Embedding: A Survey of Approaches and Applications,knowledge graph embedding,,
10945,69,SimLex-999: Evaluating Semantic Models With (Genuine) Similarity Estimation,similarity estimation; simlex-999,,
11272,69,Recent Trends in Deep Learning Based Natural Language Processing,(empty),,
15990,69,A Primer on Neural Network Models for Natural Language Processing,textual natural language signals,,
16027,69,Efficient Transformers: A Survey,transformer model architectures,reformer; linformer; performer; longformer,
16040,69,From Feedforward to Recurrent LSTM Neural Networks for Language Modeling,word error rate; recurrent neural networks; count models; feedforward neural networks; lstm neural network variants; perplexity,long short-term memory,
16116,69,"A comprehensive survey on sentiment analysis: Approaches, challenges and trends",(empty),,
16606,69,Enhancing deep learning sentiment analysis with ensemble techniques in social ap,word embeddings model; surface and deep features combination; ensemble techniques,,
17604,69,Target-Dependent Sentiment Classification With BERT,td-bert model; bertbase model; vanilla bert-fc implementation; bidirectional encoder representations from transformers,,
17909,69,Text Data Augmentation for Deep Learning,(empty),,
18256,69,Improving sentiment analysis via sentence type classification using BiLSTM-CRF a,bilstm-crf; one-dimensional convolutional neural network,cnn,
18484,69,A review: Knowledge reasoning over knowledge graph,knowledge graph; knowledge graph completion,,
18654,69,ABCDM: An Attention-based Bidirectional CNN-RNN Deep Model for sentiment analysi,attention-based bidirectional cnn-rnn deep model; attention mechanism,,
4,73,Virtual Adversarial Training: A Regularization Method for Supervised and Semi-Su,entropy minimization principle; virtual adversarial loss; virtual adversarial training,semi-supervised learning,
7,73,A survey on semi-supervised learning,(empty),semi-supervised learning; semi-supervised classification,
14,73,"A Survey on Deep Learning: Algorithms, Techniques, and Applications",(empty),generative adversarial networks; convolutional neural networks; unsupervised learning; online learning,
15,73,Deep learning in neural networks: An overview,(empty),backpropagation; unsupervised learning; reinforcement learning,
25,73,A State-of-the-Art Survey on Deep Learning Theory and Architectures,(empty),convolutional neural network; generative adversarial network; supervised learning; semi-supervised learning,
28,73,Hypergraph convolution and hypergraph attention,hypergraph convolution; hypergraph attention,graph neural networks,
53,73,Designing neural networks through neuroevolution,(empty),neuroevolution; evolutionary algorithms; stochastic gradient descent; activation functions; architecture search; meta-learning; backpropagation,
114,73,"Review of deep learning: concepts, CNN architectures, challenges, applications, ",(empty),deep learning; convolutional neural networks,
137,73,Deep learning in spiking neural networks,(empty),deep learning; spiking neural networks; backpropagation; supervised learning; unsupervised learning; neuromorphic hardware; bio-plausible local learning rules,
139,73,Big Data Deep Learning: Challenges and Perspectives,(empty),deep learning; big data,
145,73,Deep Neural Networks and Tabular Data: A Survey,(empty),,
153,73,Why Does Deep and Cheap Learning Work So Well?,cheap learning; no-flattening theorems,deep learning; neural networks,
159,73,Deep Multimodal Learning <i>A survey on recent advances and trends</i>,(empty),,
161,73,A Comprehensive Survey on Graph Neural Networks,graph neural networks; graph autoencoders,,
179,73,Learning From Noisy Labels With Deep Neural Networks: A Survey,(empty),supervised learning,
197,73,A survey on deep learning and its applications,(empty),convolutional neural network,
260,73,Self-Supervised Learning of Graph Neural Networks: A Unified Review,graph neural networks,,
383,73,Small Data Challenges in Big Data Era: A Survey of Recent Progress on Unsupervis,autoencoders,unsupervised learning; semi-supervised learning; gans,
423,73,Deep Learning With Spiking Neurons: Opportunities and Challenges,biologically motivated variants of stdp,spiking neural networks; neuromorphic hardware,
473,73,Dynamic Neural Networks: A Survey,(empty),dynamic neural networks; sample-wise dynamic models; spatial-wise dynamic networks; temporal-wise dynamic models; data-dependent architectures; adaptive computation; adaptive inference,
935,73,Stochastic Configuration Networks: Fundamentals and Algorithms,sc algorithms; stochastic configuration networks; sc networks,randomized learning algorithms,
944,73,Group sparse regularization for deep neural networks,group lasso penalty; sparse group lasso penalty,group sparse regularization; group-level sparsity,
1230,73,Application of the residue number system to reduce hardware costs of the convolu,residue number system,convolutional neural network,
1656,73,A dynamic ensemble learning algorithm for neural networks,negative correlation learning; dynamic ensemble learning,ensemble of neural networks; constructive strategy; constructive-pruning strategy; dynamic nn ensembles,
2054,73,Fundamentals of Recurrent Neural Network (RNN) and Long Short-Term Memory (LSTM),rnn unrolling technique; augmented lstm model; vanilla lstm,,
2249,73,Dynamic graph convolutional networks,dynamic graph convolutional networks,graph convolutional networks; vertex-based semi-supervised classification; graph-based supervised classification,
2577,73,Trends in extreme learning machines: A review,extreme learning machine,,
2670,73,Generative Adversarial Networks: Introduction and Outlook,generative adversarial networks,,
2885,73,TensorFlow: Learning Functions at Scale,(empty),,
3771,73,Learning Deep Generative Models,deep belief networks; deep boltzmann machines,,
3945,73,A comprehensive evaluation of random vector functional link networks,ridge regression based closed-form solution; moore-penrose pseudoinverse; random vector functional link network,,
5516,73,Multimodal Learning With Transformers: A Survey,vanilla transformer; vision transformer,transformer; multimodal transformers; multimodal pretraining; specific multimodal tasks,
5567,73,A Survey of Clustering With Deep Learning: From the Perspective of Network Archi,(empty),,
5568,73,Meta-Learning in Neural Networks: A Survey,(empty),meta-learning; learning-to-learn; few-shot learning; reinforcement learning; transfer learning; hyperparameter optimization,
5678,73,Metaheuristic design of feedforward neural networks: A review of two decades of ,(empty),gradient-descent algorithm; backpropagation; metaheuristic algorithms; evolutionary algorithms; swarm intelligence,
5679,73,Learning to Detect,detection network (detnet),,
5702,73,Recent Progress on Generative Adversarial Networks (GANs): A Survey,generative adversarial networks,gans; data generation capacity; derived models; training tricks,
5777,73,A survey on modern trainable activation functions,(empty),,
5784,73,An overview of multi-task learning,(empty),multi-task learning; multi-task supervised learning; multi-task unsupervised learning; multi-task semi-supervised learning; multi-task active learning; multi-task reinforcement learning; multi-task online learning; multi-task multi-view learning; parallel mtl models; distributed mtl models,
5899,73,A survey of randomized algorithms for training neural networks,(empty),randomized algorithms; parameter tuning; local minima; slow convergence; randomization based training; network configurations,
5911,73,Transferable Representation Learning with Deep Adaptation Networks,deep adaptation networks,,
5961,73,Model Compression and Hardware Acceleration for Neural Networks: A Comprehensive,(empty),model compression; hardware acceleration; dnn compression; compact model; tensor decomposition; data quantization; network sparsification; neural network accelerators; hardware architectures,
6002,73,Shortcut learning in deep neural networks,shortcut learning,,
6408,73,Generative Adversarial Networks,generative adversarial networks,deep learning; optimization,
6686,73,"A Survey of Zero-Shot Learning: Settings, Methods, and Applications",(empty),,
6791,73,"Generative Adversarial Networks (GANs): Challenges, Solutions, and Future Direct",generative adversarial networks,gans variants,
7297,73,A Comprehensive Survey of Neural Architecture Search: Challenges and Solutions,neural architecture search,,
9387,73,Effective data generation for imbalanced learning using conditional generative a,conditional generative adversarial networks; cgan,,
10675,73,Learning Graph Embedding With Adversarial Training Methods,adversarially regularized variational graph autoencoder; adversarially regularized graph autoencoder,graph embedding; adversarial training methods; graph convolutional network; graph autoencoder; link prediction,
11042,73,A survey of FPGA-based accelerators for convolutional neural networks,cnn algorithms,convolutional neural networks; hardware acceleration,
11186,73,A Survey on Deep Learning for Multimodal Data Fusion,(empty),multimodal data fusion; multimodal big data; intermodality information; cross-modality information; multimodal deep learning; fusion method; pioneering multimodal data fusion; deep learning fusion method,
11208,73,Graph Neural Networks With Convolutional ARMA Filters,convolutional arma filters,graph neural networks; graph classification,
11238,73,InceptionTime: Finding AlexNet for time series classification,inceptiontime,time series classification; hive-cote algorithm; convolutional neural network,
11306,73,A review on neural networks with random weights,(empty),,
11362,73,Eyeriss: An Energy-Efficient Reconfigurable Accelerator for Deep Convolutional N,row stationary dataflow; eyeriss,,
11505,73,Dropout <i>vs.</i> batch normalization: an empirical study of their impact to de,(empty),convolutional neural networks; hyperparameter tuning; non-adaptive optimizer; adaptive optimizer,
11512,73,Deep learning,(empty),deep learning; backpropagation algorithm,
15020,73,Deep Metric Learning: A Survey,(empty),activation functions,
15804,73,A review on the attention mechanism of deep learning,softness of attention; attention structures; attention mechanism,,
15871,73,CayleyNets: Graph Convolutional Neural Networks With Complex Rational Spectral F,cayleynets; cayley polynomials,graph convolutional neural networks,
15876,73,A Survey on Evolutionary Neural Architecture Search,(empty),neural architecture search; ec-based nas algorithms,
15889,73,Eyeriss v2: A Flexible Accelerator for Emerging Deep Neural Networks on Mobile D,hierarchical mesh; eyeriss v2,,
15900,73,Line Graph Neural Networks for Link Prediction,line graph neural networks,graph link prediction; graph pooling layers; line graphs; node classification problem; graph classification task,
16007,73,Locally adaptive activation functions with slope recovery for deep and physics-i,slope recovery; locally adaptive activation functions,layer-wise locally adaptive activation functions; neuron-wise locally adaptive activation functions; stochastic gradient descent algorithm; gradient descent algorithms,
16011,73,Equivalent-accuracy accelerated neural-network training using analogue memory,phase-change memory; analogue non-volatile memory,backpropagation,
16133,73,Understanding Deep Learning (Still) Requires Rethinking Generalization,(empty),convolutional networks,
16239,73,Enabling Spike-Based Backpropagation for Training Deep Neural Network Architectu,spike-based backpropagation,spiking neural networks; ann-snn conversion; deep convolutional snns; spike-based learning,
16336,73,Structured Pruning of Deep Convolutional Neural Networks,structured sparsity; structured pruning,,
16395,73,Application of Deep Belief Networks for Natural Language Understanding,(empty),backpropagation,
16458,73,"An Insight into Extreme Learning Machines: Random Neurons, Random Features and K",extreme learning machines,,
16557,73,"Model Compression and Acceleration for Deep Neural Networks <i>The principles, p",(empty),model compression; network architecture search,
16562,73,DianNao: A Small-Footprint High-Throughput Accelerator for Ubiquitous Machine-Le,diannao,convolutional neural networks,
16811,73,Pruning and quantization for deep neural network acceleration: A survey,(empty),pruning; quantization,
16931,73,Deep Learning-based Text Classification: A Comprehensive Review,(empty),,
17055,73,Scaling for edge inference of deep neural networks,(empty),,
17065,73,Training Deep Spiking Neural Networks Using Backpropagation,backpropagation for deep spiking neural networks,deep spiking neural networks; backpropagation; convolutional neural network,
17373,73,Error bounds for approximations with deep ReLU networks,(empty),,
17399,73,A Review of Relational Machine Learning for Knowledge Graphs,knowledge graphs,,
17423,73,"Deep Generative Modelling: A Comparative Review of VAEs, GANs, Normalizing Flows",variational autoencoders,generative adversarial networks,
17455,73,On the Complexity of Neural Network Classifiers: A Comparison Between Shallow an,(empty),,
17457,73,Pros and cons of GAN evaluation measures,(empty),generative adversarial networks; gan-derived models,
17708,73,GraphLIME: Local Interpretable Model Explanations for Graph Neural Networks,graphlime,graph neural networks,
17739,73,Surrogate Gradient Learning in Spiking Neural Networks: Bringing the Power of Gr,surrogate gradient learning,spiking neural networks,
17751,73,Universal Approximation Capability of Broad Learning System and Its Structural V,broad learning system,convolutional networks,
17804,73,Learning Knowledge Graph Embedding With Heterogeneous Relation Attention Network,heterogeneous relation attention networks,knowledge graph embedding; graph neural networks,
17828,73,Towards artificial general intelligence with hybrid Tianjic chip architecture,tianjic chip architecture,,
17920,73,A solution to the learning dilemma for recurrent networks of spiking neurons,e-prop,gradient descent,
17943,73,An Attentive Survey of Attention Models,modeling attention; attention model,,
17973,73,A survey of machine learning for big data processing,(empty),deep learning; transfer learning; active learning,
18000,73,Knowledge graph representation learning with simplifying hierarchical feature pr,shgnet; simplifying heterogeneous graph neural network,graph neural networks,
18270,73,Training restricted Boltzmann machines: An introduction,undirected graphical models; probabilistic graphical models,,
18430,73,Understanding deep convolutional networks,(empty),,
18515,73,Learning nonlinear operators via DeepONet based on the universal approximation t,deeponet,,
18619,73,A Continual Learning Survey: Defying Forgetting in Classification Tasks,(empty),,
165,112,A survey on deep learning based face recognition,(empty),deep convolutional neural networks,
561,112,Top-Down Neural Attention by Excitation Backprop,excitation backprop; contrastive attention,text-to-region association; phrase localization,
894,112,Region Attention Networks for Pose and Occlusion Robust Facial Expression Recogn,region attention network; region biased loss,occlusion-robust fer; pose-invariant fer; backbone convolutional neural network,
962,112,Deep feature learning with relative distance comparison for person re-identifica,relative distance comparison framework; triplet generation scheme,triplet units; convolutional neural network,
969,112,"HyperFace: A Deep Multi-Task Learning Framework for Face Detection, Landmark Loc",hyperface; hyperface-resnet; fast-hyperface,deep convolutional neural networks,
1216,112,Person Recognition System Based on a Combination of Body Images from Visible Lig,(empty),convolutional neural network,
1394,112,Deep Learning for Person Re-Identification: A Survey and Outlook,agw baseline; minp evaluation metric,,
1494,112,Pedestrian Alignment Network for Large-scale Person Re-Identification,pedestrian alignment network,convolutional neural network,
1506,112,Skeleton-Based Action Recognition Using Spatio-Temporal LSTM Network with Trust ,trust gates; spatio-temporal lstm network,tree-structure based traversal framework; multi-modal feature fusion strategy,
1508,112,Facial Expression Recognition Based on Deep Evolutional Spatial-Temporal Network,mscnn; deep evolutional spatial-temporal network; phrnn,multi-signal convolutional neural network,
1629,112,A Light CNN for Deep Face Representation With Noisy Labels,light cnn; semantic bootstrapping; max-feature-map (mfm),,
2146,112,Multi-Modal Curriculum Learning for Semi-Supervised Image Classification,multi-modal curriculum learning (mmcl),multi-modal curriculum learning,
2188,112,Real-Time Continuous Pose Recovery of Human Hands Using Convolutional Networks,(empty),convolutional network,
2244,112,DeepIM: Deep Iterative Matching for 6D Pose Estimation,deepim,,
2461,112,Look into Person: Joint Body Parsing & Pose Estimation Network and a New Benchma,structure-sensitive learning; look into person (lip),,
2537,112,Enhanced skeleton visualization for view invariant human action recognition,enhanced skeleton visualization,convolutional neural networks-based model,
2855,112,Monocular human pose estimation: A survey of deep learning-based methods,(empty),,
3031,112,VNect: Real-time 3D Human Pose Estimation with a Single RGB Camera,vnect,convolutional neural network,
3209,112,Recent Advances of Monocular 2D and 3D Human Pose Estimation: A Deep Learning Pe,(empty),,
3214,112,Cascaded Parsing of Human-Object Interaction Recognition,graph parsing neural network (gpnn); cp-hoi,graph parsing neural network,
4615,112,Skeleton-Based Action Recognition With Multi-Stream Adaptive Graph Convolutional,ms-aagcn,graph convolutional networks; multi-stream attention-enhanced adaptive graph convolutional neural network; adaptive graph convolutional layer,
5704,112,Convolutional Neural Networks or Vision Transformers: Who Will Win the Race for ,(empty),convolutional neural networks; transformer,
5713,112,Action Recognition in Video Sequences using Deep Bi-Directional LSTM With CNN Fe,db-lstm,convolutional neural network; lstm,
5825,112,Deep Facial Expression Recognition: A Survey,(empty),,
6126,112,Age and Gender Estimation of Unfiltered Faces,dropout-support vector machine,,
6277,112,The Sketchy Database: Learning to Retrieve Badly Drawn Bunnies,sketchy database,,
6392,112,Additive Margin Softmax for Face Verification,additive margin softmax,,
6633,112,Learning Modality-Specific Representations for Visible-Infrared Person Re-Identi,modality-specific representations (msr),,
7066,112,FusionGAN: A generative adversarial network for infrared and visible image fusio,fusiongan,,
7099,112,A Comprehensive Survey of Vision-Based Human Action Recognition Methods,(empty),,
7207,112,MS-TCN plus plus : Multi-Stage Temporal Convolutional Network for Action Segment,ms-tcn++; dual dilated layer,temporal convolution,
7328,112,Long-Term Recurrent Convolutional Networks for Visual Recognition and Descriptio,long-term recurrent convolutional networks,,
7599,112,Going deeper into action recognition: A survey,(empty),,
8013,112,Feature Refinement and Filter Network for Person Re-Identification,feature refinement and filter network,,
8342,112,CamStyle: A Novel Data Augmentation Method for Person Re-Identification,label smooth regularization; camstyle,,
8790,112,Facial Expression Recognition With Visual Transformers and Attentional Selective,attentional selective fusion; vtff,feature fusion; global-local attention,
8856,112,Sequential three-way decision and granulation for cost-sensitive face recognitio,sequential three-way decision,,
9152,112,Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Ann,visual genome,,
9183,112,Face Alignment by Explicit Shape Regression,explicit shape regression,shape indexed features; correlation-based feature selection,
9200,112,Facial expression recognition via learning deep sparse autoencoders,deep sparse autoencoders,facial expression recognition,
9283,112,The PASCAL Visual Object Classes Challenge: A Retrospective,normalised average precision,,
9317,112,"The Open Images Dataset V4 Unified Image Classification, Object Detection, and V",open images v4,,
9366,112,A Comprehensive Survey to Face Hallucination,(empty),,
9594,112,Temporal Segment Networks for Action Recognition in Videos,temporal segment networks,temporal segment network; segment-based sampling,
9597,112,Hierarchical Clustering Multi-Task Learning for Joint Human Action Grouping and ,hc-mtl,group-wise least square loss,
9598,112,Struck: Structured Output Tracking with Kernels,struck,,
9652,112,Human3.6M: Large Scale Datasets and Predictive Methods for 3D Human Sensing in N,human3.6m,,
9828,112,"Video-Based Facial Micro-Expression Analysis: A Survey of Datasets, Features and",mmew,,
9835,112,Visual Tracking: An Experimental Survey,(empty),visual tracking,
9842,112,Non-Rigid Point Set Registration by Preserving Global and Local Structures,reproducing kernel hilbert space,,
9852,112,OpenPose: Realtime Multi-Person 2D Pose Estimation Using Part Affinity Fields,openpose; part affinity fields,,
9868,112,AlignSeg: Feature-Aligned Segmentation Networks,alignfa; aligncm; alignseg,,
9876,112,A Main Directional Mean Optical Flow Feature for Spontaneous Micro-Expression Re,mdmo,main directional mean optical-flow; mdmo feature,
9912,112,"VideoLSTM convolves, attends and flows for action recognition",videolstm,soft-attention lstm; motion-based attention; temporal attention smoothing,
9915,112,Learning Actionlet Ensemble for 3D Human Action Recognition,actionlet ensemble,actionlet ensemble model,
9935,112,Skeleton-based action recognition via spatial and temporal transformer networks,st-tr,spatial-temporal graph convolutional networks; spatial-temporal transformer network; transformer self-attention operator; spatial self attention module; temporal self-attention module,
9956,112,Multi-Directional Multi-Level Dual-Cross Patterns for Robust Face Recognition,mdml-dcps,multi-directional multi-level dual-cross patterns; first derivative of gaussian operator; dcp feature; local binary patterns; lbp,
9974,112,Automatic Facial Expression Recognition Using Features of Salient Facial Patches,(empty),,
9986,112,Survey on Emotional Body Gesture Recognition,(empty),,
9987,112,Pose-Invariant Embedding for Deep Person Re-Identification,pose-invariant embedding; posebox,,
10002,112,High-Speed Tracking with Kernelized Correlation Filters,kernelized correlation filters; dual correlation filter,,
10027,112,Joint Sparse Representation and Robust Feature-Level Fusion for Multi-Cue Visual,joint sparse representation,robust feature-level fusion; multi-cue visual tracking,
10055,112,Occlusion Aware Facial Expression Recognition Using CNN With Attention Mechanism,acnn,patch-based acnn; global-local-based acnn,
10074,112,3D skeleton-based human action classification: A survey,(empty),,
10099,112,Continuous Energy Minimization for Multitarget Tracking,continuous energy minimization,,
10116,112,"Survey on RGB, 3D, Thermal, and Multimodal Approaches for Facial Expression Reco",(empty),facial expression recognition,
10119,112,"Automatic Analysis of Facial Affect: A Survey of Registration, Representation, a",(empty),,
10128,112,ArcFace: Additive Angular Margin Loss for Deep Face Recognition,sub-center arcface; arcface,additive angular margin loss,
10135,112,Learning Discriminant Face Descriptor,discriminant face descriptor; coupled dfd,local binary patterns (lbp); discriminant face descriptor (dfd); coupled discriminant face descriptor (c-dfd),
11346,112,Facial expression recognition with Convolutional Neural Networks: Coping with fe,(empty),convolutional neural network; expression specific features,
12298,112,300 Faces In-The-Wild Challenge: database and results,(empty),,
12302,112,BP4D-Spontaneous: a high-resolution spontaneous 3D dynamic facial expression dat,bp4d-spontaneous,,
12303,112,A survey of approaches and trends in person re-identification,(empty),,
14417,112,Beyond Triplet Loss: Person Re-Identification With Fine-Grained Difference-Aware,difference-aware pairwise loss,triplet loss,
15082,112,Where-and-When to Look: Deep Siamese Attention Networks for Video-Based Person R,deep siamese attention networks,spatiotemporal video representations,
15582,112,SMPL: A Skinned Multi-Person Linear Model,smpl,,
15755,112,Compound facial expressions of emotion,compound emotion categories,,
15949,112,Robust Face Recognition via Multimodal Deep Face Representation,multimodal deep face representation,convolutional neural networks,
16076,112,Spatial-Temporal Recurrent Neural Network for Emotion Recognition,strnn,,
16217,112,Convolutional Neural Networks and Long Short-Term Memory for skeleton-based huma,(empty),convolutional neural network,
16534,112,Deep-Emotion: Facial Expression Recognition Using Attentional Convolutional Netw,deep-emotion,lbp,
16661,112,A Deep Learning Framework for Character Motion Synthesis and Editing,motion manifold,,
16769,112,Deep Expectation of Real and Apparent Age from a Single Image Without Facial Lan,imdb-wiki,convolutional neural networks,
17006,112,Understanding Deep Learning Techniques for Recognition of Human Emotions Using F,(empty),facial expression recognition; occlusion,
17213,112,A Brief Review of Facial Emotion Recognition Based on Visual Information,(empty),facial emotion recognition; deep-learning-based fer; convolutional neural network; hybrid deep-learning approach,
17778,112,"AffectNet: A Database for Facial Expression, Valence, and Arousal Computing in t",affectnet,facial expression recognition,
17852,112,Deep face recognition: A survey,(empty),,
17912,112,Reliable Crowdsourcing and Deep Locality-Preserving Learning for Unconstrained F,dlp-cnn; raf-db,deep locality-preserving convolutional neural network,
17985,112,A Discriminatively Learned CNN Embedding for Person Reidentification,discriminatively learned cnn embedding,convolutional neural networks,
18018,112,Long-Term Temporal Convolutions for Action Recognition,long-term temporal convolutions,ltc-cnn models,
18539,112,A Deep Neural Network-Driven Feature Learning Method for Multi-view Facial Expre,(empty),multi-view facial expression recognition,
18672,112,Joint Face Detection and Alignment Using Multitask Cascaded Convolutional Networ,multitask cascaded convolutional networks,deep convolutional networks,
18743,112,Trunk-Branch Ensemble Convolutional Neural Networks for Video-Based Face Recogni,tbe-cnn,convolutional neural networks; trunk-branch ensemble cnn; improved triplet loss function,
