cluster_id,topic_id,topic_name,cluster_name,term_count,terms,has_error,error_terms,notes
1,69,Natural Language Processing and Knowledge Graphs,Attention-Enhanced Neural Network Architectures for NLP,3,attention-based bidirectional long short-term memory with convolution layer; BERT-based dynamic fusion; Attention-based Bidirectional CNN-RNN Deep Model,N,,"All terms are correctly placed, and cluster coherence is good."
2,69,Natural Language Processing and Knowledge Graphs,Graph-Based Learning Models for Knowledge Representation,4,hierarchical node construction; multi-level graph learning; attention-based graph learning; Knowledge Graph Embedding,N,,"All terms are correctly placed, and cluster coherence is good."
3,69,Natural Language Processing and Knowledge Graphs,Convolutional Network Variants for Structured Data Processing,4,dependency convolution layer; tree-type convolution network; sentence dependency tree structure; multi-scale dynamic convolutional network,N,,"All terms are correctly placed, and cluster coherence is good."
4,69,Natural Language Processing and Knowledge Graphs,Ensemble and Optimization Techniques for Classification,3,multiobjective weighted voting ensemble classifier; differential evolution algorithm; multiobjective optimization-based weighted voting scheme,N,,"All terms are correctly placed, and cluster coherence is good."
5,69,Natural Language Processing and Knowledge Graphs,Transformer-Based Models for Efficient NLP,6,transformers with non-autoregressive parallel decoding; Reformer; Linformer; Performer; Longformer; TD-BERT model,N,,"All terms are correctly placed, and cluster coherence is good."
6,69,Natural Language Processing and Knowledge Graphs,Advanced Loss Functions for Set and Sequence Prediction,3,set prediction networks; set-based loss; bipartite matching loss,N,,"All terms are correctly placed, and cluster coherence is good."
7,69,Natural Language Processing and Knowledge Graphs,Deep Fusion and Matching Networks for Semantic Understanding,2,deep fusion matching network; dynamic text sequential feature interaction,N,,"All terms are correctly placed, and cluster coherence is good."
8,69,Natural Language Processing and Knowledge Graphs,Information Aggregation and Inference Layers for Enhanced Decision Making,2,information aggregation layer; inference prediction layer,N,,"All terms are correctly placed, and cluster coherence is good."
9,69,Natural Language Processing and Knowledge Graphs,Lexical Semantic Evaluation Benchmarks,1,SimLex-999,N,,"All terms are correctly placed, and cluster coherence is good."
10,73,Deep Learning and Neural Networks,Adversarial Training and Regularization Techniques in Neural Networks,5,virtual adversarial training; virtual adversarial loss; adversarial training methods; adversarially regularized graph autoencoder; adversarially regularized variational graph autoencoder,N,,"All terms are correctly placed, and cluster coherence is good."
11,73,Deep Learning and Neural Networks,Hypergraph Neural Networks for Complex Data Structures,2,hypergraph convolution; hypergraph attention,N,,"All terms are correctly placed, and cluster coherence is good."
12,73,Deep Learning and Neural Networks,Evolutionary Algorithms for Neural Network Optimization,4,neuroevolution; evolutionary algorithms; architecture search; EC-based NAS algorithms,N,,"All terms are correctly placed, and cluster coherence is good."
13,73,Deep Learning and Neural Networks,Dynamic and Adaptive Neural Network Architectures,7,dynamic neural networks; sample-wise dynamic models; spatial-wise dynamic networks; temporal-wise dynamic models; data-dependent architectures; adaptive computation; adaptive inference,N,,"All terms are correctly placed, and cluster coherence is good."
14,73,Deep Learning and Neural Networks,Stochastic and Randomized Learning Algorithms,6,Stochastic Configuration Networks; SC networks; SC algorithms; randomized learning algorithms; randomized algorithms; randomization based training,N,,"All terms are correctly placed, and cluster coherence is good."
15,73,Deep Learning and Neural Networks,Sparse Regularization Techniques in Neural Networks,4,group sparse regularization; group Lasso penalty; group-level sparsity; sparse group Lasso penalty,N,,"All terms are correctly placed, and cluster coherence is good."
16,73,Deep Learning and Neural Networks,Ensemble Learning Strategies for Neural Networks,6,dynamic ensemble learning; ensemble of neural networks; constructive strategy; constructive-pruning strategy; negative correlation learning; dynamic NN ensembles,N,,"All terms are correctly placed, and cluster coherence is good."
17,73,Deep Learning and Neural Networks,Advanced Graph Neural Network Models,8,Dynamic graph convolutional networks; vertex-based semi-supervised classification; graph-based supervised classification; Graph Convolutional Neural Networks; graph embedding; graph convolutional network; graph autoencoder; Graph Neural Networks,N,,"All terms are correctly placed, and cluster coherence is good."
18,73,Deep Learning and Neural Networks,Transformer-Based Models for Multimodal Data,4,Vision Transformer; multimodal Transformers; multimodal pretraining; specific multimodal tasks,N,,"All terms are correctly placed, and cluster coherence is good."
19,73,Deep Learning and Neural Networks,Optimization Algorithms for Neural Network Training,6,gradient-descent algorithm; metaheuristic algorithms; swarm intelligence; stochastic gradient descent algorithm; gradient descent algorithms; backpropagation algorithm,N,,"All terms are correctly placed, and cluster coherence is good."
20,73,Deep Learning and Neural Networks,Model Compression and Acceleration Techniques,9,model compression; hardware acceleration; DNN compression; compact model; tensor decomposition; data quantization; network sparsification; neural network accelerators; hardware architectures,N,,"All terms are correctly placed, and cluster coherence is good."
21,73,Deep Learning and Neural Networks,Generative Adversarial Networks and Variants,6,Generative Adversarial Networks; data generation capacity; derived models; training tricks; GANs variants; GAN-derived models,N,,"All terms are correctly placed, and cluster coherence is good."
22,73,Deep Learning and Neural Networks,Multi-Task Learning Frameworks,10,multi-task learning; multi-task supervised learning; multi-task unsupervised learning; multi-task semi-supervised learning; multi-task active learning; multi-task reinforcement learning; multi-task online learning; multi-task multi-view learning; parallel MTL models; distributed MTL models,N,,"All terms are correctly placed, and cluster coherence is good."
23,73,Deep Learning and Neural Networks,Deep Learning for Time Series Analysis,3,InceptionTime; time series classification; HIVE-COTE algorithm,N,,"All terms are correctly placed, and cluster coherence is good."
24,73,Deep Learning and Neural Networks,Neuromorphic Computing and Spiking Neural Networks,6,neuromorphic hardware; spiking neural networks; Spiking Neural Networks; ANN-SNN conversion; deep convolutional SNNs; spike-based learning,N,,"All terms are correctly placed, and cluster coherence is good."
25,112,Computer Vision and Multimodal Learning in Behavior Recognition,Attention-Based Neural Network Architectures for Visual Recognition,9,contrastive attention; global-local attention; Attentional Selective Fusion; soft-Attention LSTM; motion-based attention; temporal attention smoothing; Transformer self-attention operator; Spatial Self Attention module; Temporal Self-Attention module,N,,"All terms are correctly placed, and cluster coherence is good."
26,112,Computer Vision and Multimodal Learning in Behavior Recognition,Graph-Based Neural Networks for Spatial-Temporal Data Analysis,6,Tree-Structure Based Traversal Framework; graph parsing neural network; multi-stream attention-enhanced adaptive graph convolutional neural network; adaptive graph convolutional layer; Spatial-Temporal Graph Convolutional Networks; Spatial-Temporal Transformer network,N,,"All terms are correctly placed, and cluster coherence is good."
27,112,Computer Vision and Multimodal Learning in Behavior Recognition,Deep Learning Approaches for Facial Expression Recognition,7,occlusion-robust FER; pose-invariant FER; deep-learning-based FER; hybrid deep-learning approach; multi-view facial expression recognition; expression specific features; facial emotion recognition,N,,"All terms are correctly placed, and cluster coherence is good."
28,112,Computer Vision and Multimodal Learning in Behavior Recognition,Multi-Modal Learning Strategies for Enhanced Feature Fusion,6,text-to-region association; phrase localization; Multi-Modal Feature Fusion Strategy; multi-modal curriculum learning; robust feature-level fusion; multi-cue visual tracking,N,,"All terms are correctly placed, and cluster coherence is good."
29,112,Computer Vision and Multimodal Learning in Behavior Recognition,Advanced Loss Functions and Optimization Techniques for Deep Learning,8,region biased loss; triplet units; triplet generation scheme; group-wise least square loss; Additive Angular Margin Loss; ArcFace; sub-center ArcFace; improved triplet loss function,N,,"All terms are correctly placed, and cluster coherence is good."
30,112,Computer Vision and Multimodal Learning in Behavior Recognition,Convolutional Neural Network Variants for Image and Video Analysis,8,HyperFace-ResNet; Fast-HyperFace; patch-based ACNN; global-local-based ACNN; Convolutional Neural Network; deep convolutional networks; Trunk-Branch Ensemble CNN; TBE-CNN,N,,"All terms are correctly placed, and cluster coherence is good."
31,112,Computer Vision and Multimodal Learning in Behavior Recognition,Spatial-Temporal Modeling Techniques for Action Recognition,8,temporal segment network; segment-based sampling; actionlet ensemble model; Main Directional Mean Optical-flow; MDMO feature; spatiotemporal video representations; long-term temporal convolutions; LTC-CNN models,N,,"All terms are correctly placed, and cluster coherence is good."
32,112,Computer Vision and Multimodal Learning in Behavior Recognition,Feature Extraction and Selection Methods for Machine Learning,10,shape indexed features; correlation-based feature selection; deep sparse autoencoders; Multi-Directional Multi-Level Dual-Cross Patterns; MDML-DCPs; first derivative of Gaussian operator; DCP feature; Local Binary Patterns (LBP); Discriminant Face Descriptor (DFD); Coupled Discriminant Face Descriptor (C-DFD),N,,"All terms are correctly placed, and cluster coherence is good."
33,66,Evolutionary Computing and Optimization Algorithms,Surrogate-Assisted Evolutionary Optimization Algorithms,5,surrogate-assisted evolutionary algorithms; machine learning-based surrogate modeling; Gaussian process surrogate model; surrogate model assisted evolutionary algorithms; surrogate model-aware search mechanism,N,,"All terms are correctly placed, and cluster coherence is good."
34,66,Evolutionary Computing and Optimization Algorithms,Quantum-Inspired Metaheuristic Algorithms,1,Quantum-inspired metaheuristic algorithms,N,,"All terms are correctly placed, and cluster coherence is good."
35,66,Evolutionary Computing and Optimization Algorithms,Regression and Interpolation Techniques for Optimization,6,subset selection for regression techniques; nonlinear interpolating functions; radial basis functions; Kriging; subset selection regression techniques; sparse regression models,N,,"All terms are correctly placed, and cluster coherence is good."
36,66,Evolutionary Computing and Optimization Algorithms,Hyper-Heuristic Frameworks for Optimization,4,selection hyper-heuristics; heuristic selection; heuristic generation; hyper-heuristic frameworks,N,,"All terms are correctly placed, and cluster coherence is good."
37,66,Evolutionary Computing and Optimization Algorithms,Vector-Based Optimization Methods,5,weIghted meaN oF vectOrs; weighted mean method; updating rule; vector combining; mean-based law,N,,"All terms are correctly placed, and cluster coherence is good."
38,66,Evolutionary Computing and Optimization Algorithms,Advanced Linear System Solvers for Optimization,8,alternating direction method of multipliers; operator splitting technique; quasi-definite linear system; division-free matrix factorization; factorization caching; warm starting; primal and dual infeasibility detection; OSQP solver,N,,"All terms are correctly placed, and cluster coherence is good."
39,50,Edge Computing and Federated Learning,Contrastive Learning Frameworks for Self-Supervised Representation Learning,2,Contrastive Self-Supervised Learning; Contrastive Learning framework,N,,"All terms are correctly placed, and cluster coherence is good."
40,50,Edge Computing and Federated Learning,Graph-Based Neural Network Architectures,1,graph autoencoder,N,,"All terms are correctly placed, and cluster coherence is good."
41,50,Edge Computing and Federated Learning,Anomaly Detection Techniques in Time Series Data,5,anomaly detection-aware target; DeepAnT; Hierarchical Temporal Memory (HTM); Numenta Anomaly Benchmark (NAB); Extended Isolation Forest,N,,"All terms are correctly placed, and cluster coherence is good."
42,50,Edge Computing and Federated Learning,Optimization Algorithms for Neural Network Architecture,5,automatic architecture optimization; Self-adaptive Particle Swarm Optimization algorithm; SPSO-GA; binary PSO with mutation operator; MBPSO,N,,"All terms are correctly placed, and cluster coherence is good."
43,50,Edge Computing and Federated Learning,Privacy-Preserving and Decentralized Machine Learning Approaches,7,privacy-preserving decentralized approach; Adaptive Federated Learning; Iterative Federated Clustering Algorithm; Clustered Federated Learning; Federated Multitask Learning; Self-Balancing FL Framework; Astraea,N,,"All terms are correctly placed, and cluster coherence is good."
44,65,Quantum Machine Learning and Quantum Computing,Variational Quantum Circuit Optimization Algorithms,12,variational quantum circuits; trainable classification circuit; quantum circuit learning; hybrid quantum-classical optimization; variational parameters; variational optimization; parametrized quantum circuits; variational quantum eigensolvers; parameterized quantum circuits; hybrid quantum-classical systems; classical optimization loop; gradient estimation complexity,N,,"All terms are correctly placed, and cluster coherence is good."
45,65,Quantum Machine Learning and Quantum Computing,Quantum Annealing and Combinatorial Optimization Techniques,9,Ising machines; combinatorial optimization problems; superconducting-circuit quantum annealers; quantum annealing processors; adiabatic quantum computing algorithm; quantum annealing; heuristic quantum optimization algorithm; QA algorithm; D-Wave systems,N,,"All terms are correctly placed, and cluster coherence is good."
46,65,Quantum Machine Learning and Quantum Computing,Quantum Machine Learning Models and Algorithms,14,quantum model for classification; Quantum Generative Adversarial Networks; qGANs; Quantum Support Vector Machine; quantum big data algorithm; quantum convolutional neural networks; neural network generative models; quantum neural networks; quantum-enhanced feature spaces; support vector machines; quantum variational classifier; quantum kernel estimator ... (+2 more),N,,"All terms are correctly placed, and cluster coherence is good."
47,65,Quantum Machine Learning and Quantum Computing,Quantum Information Processing and Error Correction Schemes,10,quantum error correction scheme; quantum information theory; entanglement in quantum many-body systems; quantum state space; quantum tomography problem; informationally complete quantum measurement; state tomography; density matrix reconstruction; quantum measurements; Neural-network quantum state tomography,N,,"All terms are correctly placed, and cluster coherence is good."
48,98,Intelligent Transportation Systems and Autonomous Driving Technologies,Decentralized Multi-Agent Reinforcement Learning Algorithms,5,decentralized leader-follower formation control; multi-agent deep reinforcement learning; decentralized MARL algorithm; independent A2C; independent Q-learning,N,,"All terms are correctly placed, and cluster coherence is good."
49,98,Intelligent Transportation Systems and Autonomous Driving Technologies,Neural Network-Based Control and Approximation Techniques,5,neural network approximators; neural network-based actor-critic learning framework; adaptive neural network control; adaptive neural networks; BP Neural Network,N,,"All terms are correctly placed, and cluster coherence is good."
50,98,Intelligent Transportation Systems and Autonomous Driving Technologies,Deep Reinforcement Learning for Autonomous Systems,5,deep learning-based approaches; deep deterministic policy gradient; DDPGvRT; Deep Reinforcement Learning; reinforcement learning,N,,"All terms are correctly placed, and cluster coherence is good."
